story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
5df32bc6-8006-44c6-a9bc-802e01cc59ff,xmugz3ep,human_5AI,1.0,14.0,1.0,1.0,2.0,9.0,9.0,9.0,3.0,6.0,5.0,1.0,3.0,1.0
321f7c82-05ab-49ed-8e15-152f538aec1d,z1suyduo,human_1AI,1.0,89.0,6.0,6.0,6.0,4.0,6.0,7.0,5.0,3.0,5.0,1.0,2.0,7.0
863d7eaf-eb05-4d14-8804-6123d8c04d86,b8vvpbp3,human,0.0,85.0,5.0,3.0,3.0,9.0,9.0,7.0,8.0,7.0,1.0,1.0,1.0,1.0
c401d343-3885-4a67-a28d-8baa7180f745,8ho3x1xr,human_5AI,1.0,75.0,4.0,4.0,4.0,9.0,7.0,7.0,5.0,5.0,1.0,2.0,4.0,1.0
cdfdbcd2-e24f-4833-b950-18330c544d55,ogbw9gyw,human_5AI,1.0,85.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,8.0
3e150849-a7a9-4c64-be45-0134d9afd6fa,mv6niqwn,human_1AI,1.0,75.0,6.0,5.0,5.0,7.0,9.0,6.0,7.0,7.0,2.0,6.0,9.0,7.0
d58324db-aafc-4c56-8550-aa80d92b6fc8,3dbyk62z,human_5AI,0.0,5.0,7.0,7.0,3.0,7.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,7.0
d85227b3-1de2-4df3-acec-18891baf76cd,x34552z9,human,0.0,75.0,5.0,5.0,4.0,6.0,4.0,3.0,4.0,3.0,7.0,2.0,3.0,5.0
f7886106-14d7-4b51-bf73-7d011654222f,yxrbebwq,human_5AI,1.0,91.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,7.0,1.0,1.0,1.0
9d532481-e080-4043-b0f8-16829df777e8,eophih8t,human_1AI,1.0,6.0,3.0,6.0,5.0,8.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,5.0
84184ee1-7a24-4886-aaf7-420b19187f40,7wg87ome,human,0.0,8.0,5.0,5.0,3.0,8.0,5.0,5.0,7.0,7.0,4.0,1.0,5.0,5.0
883982ae-c0f6-4795-9421-aa2768ea16e6,cx23mahm,human_1AI,0.0,30.0,4.0,5.0,4.0,9.0,9.0,5.0,4.0,3.0,6.0,1.0,2.0,4.0
448d41f3-9b57-44f1-9ac9-c3f608e284ff,fx7i38er,human_5AI,1.0,0.0,3.0,3.0,3.0,8.0,8.0,8.0,7.0,6.0,1.0,1.0,7.0,1.0
8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,lm29jouh,human_1AI,1.0,53.0,7.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,4.0,4.0,7.0,3.0
