story_id,ai_used_actual,evaluator_code,post_authors_ideas,post_ownership,post_profit,post_ai_assist
1ae992b9-d676-4051-b939-19635ea24c24,0,ag6bfphw,8.0,8.0,0,75
8f962717-825a-44d1-8c70-11e538b2e210,1,neuxoryg,4.0,7.0,75,15
a0e70cc9-d661-4237-ab6e-692c99397d06,0,4da7udwu,4.0,5.0,66,30
0700e775-44f7-47b9-aec5-078516a9032c,0,1qae9gbi,7.0,6.0,0,50
c0002a1c-09c6-4939-8524-acc0671b187b,1,2u97fnv5,7.0,7.0,85,10
7086605c-efec-4e8c-867f-9c3e26ba5869,0,vg3nohdf,7.0,8.0,0,30
c3df61ef-db61-4d63-8033-442f78804201,0,qqhmpjcg,7.0,7.0,0,75
49dc8a44-7527-4bf3-b79a-52a6f1f9f416,1,29rig08f,7.0,8.0,84,70
d1b64760-12b9-4490-98b4-d8d251bb4657,1,kfmmorpq,2.0,3.0,25,35
4c7846f7-f65a-482c-8d57-70c1b2a4a7a0,0,z5p8em34,2.0,2.0,0,100
e4c02406-fa7c-46e9-9c59-870be139319d,0,eylwro2s,5.0,7.0,0,81
9807e780-e71d-4f74-80a8-fbe609e79bd7,0,60fmqbll,7.0,6.0,0,50
5e433a7f-d48b-449b-8f30-35e205ee75dc,1,fk7hla6y,4.0,3.0,26,50
f7376258-d293-44f9-aa07-938361a4e1ee,0,c96vs1wo,7.0,6.0,0,75
61264962-4daa-4ee8-bc77-19ca6fc6e4b5,0,1c9p9015,9.0,9.0,0,42
91ccea5b-0d04-4da0-b72f-f9e5f4dd0cff,0,hzuuw0td,5.0,5.0,50,74
883982ae-c0f6-4795-9421-aa2768ea16e6,0,ulkeae1a,7.0,8.0,0,5
695524f2-aebd-42ef-a7c1-8e6818de6e01,0,642yx89b,1.0,1.0,0,10
d9d1d62f-cbfa-473d-884f-e9cda653ce4a,1,dn9usy8h,7.0,6.0,49,74
86d1cfb8-1101-40a7-84eb-0c376feb0183,0,rsspexkn,6.0,6.0,85,73
f3a0bc3c-e9c3-4c94-9c0d-611e7a26b49b,0,n1atvu1y,8.0,8.0,0,25
7e679441-d793-4967-a395-60329e3067bc,1,6g2u8ogb,3.0,5.0,50,95
